# INTERNAL_OJS vocabulary — 6 May-2008 packages (2008085-2008105), issue 41 sweep
# element<TAB>count<TAB>packages_seen(of 6)<TAB>attrs
#PACKAGES 6
#HEADINGS 2110:961 2210:912 2280:910 2180:846 8098:642 1110:388 1180:380 2580:256 2220:249 2540:159 2510:138 2100:123 2240:109 2120:101 1120:68 1100:64 2200:57 0708:51 22D0:34 25F0:32 C398:31 3210:28 25C0:26 2140:25 22E0:21 2230:20 2520:19 3380:19 3310:18 1160:16 2130:15 1140:15 3280:13 22M0:12 PARL:12 3340:11 3110:10 0788:8 2250:8 9008:7 5008:6 21Y0:6 11M0:6 C298:6 0808:6 3180:6 3540:5 4280:4 3220:4 1130:4 21M0:3 CONS:3 4310:3 4008:3 3140:3 2150:2 4380:2 3580:2 25E0:2 3320:2 22Y0:1 3510:1 3350:1 3300:1 3200:1 4180:1 4320:1 25B0:1 1150:1 4520:1 33M0:1 33D0:1 3120:1 21B0:1 02A0:1
DETAILS_PAYMENTS_PARTICIPANTS	2	2	
DISPATCH_INVITATIONS_DATE	210	6	
DIV_INTO_LOT_NO	394	6	
DOCUMENT_COST	10	5	CURRENCY
DOCUMENT_METHOD_OF_PAYMENT	11	5	
DURATION_FRAMEWORK_MONTH	19	6	
DURATION_FRAMEWORK_YEAR	104	6	
DURATION_FROM	5	4	
DURATION_INDEFINITE	21	5	
DURATION_QUALIFICATION_SYSTEM	26	6	
DURATION_UNTIL	5	4	
EAF_CAPACITY_INFORMATION	362	6	
EAF_CAPACITY_MIN_LEVEL	99	6	
ECONOMIC_OPERATORS_PERSONAL_SITUATION	416	6	
ECONOMIC_OPERATOR_NAME_ADDRESS	6084	6	
EEIG	1	1	CATEGORY LG
ELECTRONIC_AUCTION	3	2	
EMPLOYMENT_PROTECTION_WORKING_CONDITIONS	2	2	
EMPLOYMENT_PROTECTION_WORKING_CONDITIONS_VALUE	2	2	
END_DATE	151	6	
ENVIRONMENTAL_PROTECTION_LEGISLATION	2	2	
ENVIRONMENTAL_PROTECTION_LEGISLATION_VALUE	2	2	
ESTABLISHMENT_FRAMEWORK_AGREEMENT	2	2	
ESTIMATED_COST_MAIN_FINANCING	3	3	
EXCLUDING_VAT	4863	6	
EXCLUDING_VAT_PRCT	3	2	
EXECUTION_SERVICE_RESERVED_PARTICULAR_PROFESSION	29	6	
EXISTENCE_AUTHORISED_PERSONS	67	6	
EXISTENCE_OTHER_PARTICULAR_CONDITIONS	122	6	
E_MAIL	14794	6	
F01_DIVISION_INTO_LOTS	30	6	
F01_DIV_INTO_LOT_YES	8	6	
F02_ANNEX_B	385	6	
F02_CONDITIONS_FOR_PARTICIPATION	452	6	
F02_DIVISION_INTO_LOTS	435	6	
F02_DIV_INTO_LOT_YES	90	6	VALUE
F02_ECONOMIC_FINANCIAL_CAPACITY	376	6	
F02_FRAMEWORK	114	6	
F02_PT_ACCELERATED_NEGOTIATED	3	2	
F03_IS_ELECTRONIC_AUCTION_USABLE	149	6	VALUE
F03_PT_NEGOTIATED_WITHOUT_COMPETITION	2	2	
F04_DIVISION_INTO_LOTS	4	4	
F04_DIV_INTO_LOT_YES	1	1	
F04_FRAMEWORK	3	3	
F04_TYPE_PROCEDURE	4	4	TYPE
F05_ANNEX_B	27	5	
F05_AWARD_CRITERIA_CONTRACT_UTILITIES_INFORMATION	43	6	
F05_CONDITIONS_FOR_PARTICIPATION	43	6	
F05_DIVISION_INTO_LOTS	34	6	
F05_DIV_INTO_LOT_YES	10	5	VALUE
F05_ECONOMIC_FINANCIAL_CAPACITY	35	6	
F05_FRAMEWORK	13	6	
F06_AWARD_CRITERIA_CONTRACT_UTILITIES_INFORMATION	24	5	
F06_NOTICE_INVOLVES	6	3	VALUE
F07_CONTRACT_TYPE	3	2	VALUE
F09_TYPE_PROCEDURE_OPEN	1	1	
FAX	11413	6	
FD_BUYER_PROFILE_SUM	2	2	
FD_CONCESSION_SUM	16	6	
